Community Sponsor,Garden Name,Street Address,City,State,Zip Code,Lot Size (ft2),Food Production (ft2),% food space,Hydrant Access,Ornamental,Food,Mixed,District,City Owned,Neighborhood,Year Established,School,Compost,Rain Barrels,Season demographic info collected,Number of Gardeners,Number of Renters,Number of Males,Number of Females,Foreign Born,Country of Origin,White,Black,Asian,Hispanic,Native American,Other,Languages Spoken,0-18,19-29,30-49,50-69,70+
Blackrock Block Club,Blackrock Heritage Garden,269 Dearborn Street,Buffalo,NY,14207,5496,870,15.8,Yes,No,No,Yes,North,Yes,Black Rock,2009,No,Yes,No,2013,5,,2,3,1,,1,,,2,,,"English, Spanish",,,1,4,
Buffalo Municipal Housing Authority,Marine Drive Apartments,147 Marine Drive,Buffalo,NY,14202,,120,,No,No,No,No,Fillmore,No,Downtown,,No,No,No,,,,,,,,,,,,,,,,,,,
Buffalo Municipal Housing Authority,Richmond Summer Senior Center,337 Summer Street,Buffalo,NY,14222,,,,No,No,No,No,Niagara,No,Elmwood,,No,No,No,,,,,,,,,,,,,,,,,,,
Buffalo Public School # 32: Bennett Park Montessori School,Montessori Outdoor Learning Experience (M.O.L.E.),342 Clinton Street,Buffalo,NY,14204,,168,,No,No,No,Yes,Ellicott,No,East Side,2011,Yes,No,No,2013,200,,100,100,,,1,2,,,,,,200,,20,10,
Buffalo Public School #18: Dr. Antonia Panjona,Buffalo Public School School 18 Community Garden,125 Hampshire Street,Buffalo,NY,14213,6055,192,3.2,No,No,No,No,Niagara,Yes,West Side,2013,Yes,No,No,,,,,,,,,,,,,,,,,,,
Buffalo Public School #195: City Honors School,Pelion Community Garden,206 Best Street,Buffalo,NY,14209,4020,448,2.7,Yes,No,No,Yes,Ellicott,Yes,Masten Park,2011,Yes,Yes,Yes,2013,250,,125,125,,,1,2,3,,,,,200,6,20,10,
Buffalo Public School #195: City Honors School,Pelion Community Garden,210 Best Street,Buffalo,NY,14209,4020,448,2.7,No,No,No,Yes,Ellicott,Yes,Masten Park,2011,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,
Buffalo Public School #195: City Honors School,Pelion Community Garden,212 Best Street,Buffalo,NY,14209,4450,448,2.7,No,No,No,Yes,Ellicott,Yes,Masten Park,2011,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,
Buffalo Public School #195: City Honors School,Pelion Community Garden,208 Best Street,Buffalo,NY,14209,4020,448,2.7,No,No,No,Yes,Ellicott,Yes,Masten Park,2011,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,
Buffalo Public School #204: Lafayette High School,Lafayette High School Garden,370 Lafayette Avenue,Buffalo,NY,14213,,576,,No,No,No,Yes,Niagara,No,West Side,2013,Yes,Yes,No,2013,10,,3,7,8,"Myannmar, Thailand, Cuba, Congo",,3,1,2,,,"Burmese, French, Thai, Karen, Spanish",8,,,2,
Buffalo Public School #30: Frank Sedita/Urban Roots,Buffalo Public School 30 Garden,21 Lowell Place,Buffalo,NY,14213,,,,No,No,Yes,No,Niagara,No,West Side,2011,Yes,No,No,,,,,,,,,,,,,,,,,,,
Buffalo Shakespeare Garden Group,Buffalo Shakespeare Garden,453 Porter Avenue,Buffalo,NY,14201,,0,,No,No,No,No,Niagara,No,Lower West Side,,No,No,No,,,,,,,,,,,,,,,,,,,
Calvary CME Church,Calvary Community Co-op Garden,1007 Ellicott Street,Buffalo,NY,14209,6149,392,6.4,No,No,Yes,No,Ellicott,No,Cold Springs,2011,No,No,No,2013,7,,2,5,,,,1,,,,2,,1,,,6,
Cambridge Avenue Block Club #2,Cambridge Avenue Community Garden,249 Cambridge Avenue,Buffalo,NY,14215,3540,496,14,Yes,No,No,Yes,Masten,Yes,East Side,2011,No,No,Yes,,,,,,,,,,,,,,,,,,,
Community Action Information Center,Rosa Gibson Garden of Love,493 Northampton Street,Buffalo,NY,14208,3379,,,No,Yes,No,No,Ellicott,Yes,East Side,1997,No,No,No,,,,,,,,,,,,,,,,,,,
Community Action Information Center,Rosa Gibson Garden of Love,499 Northampton Street,Buffalo,NY,14208,3679,,,No,Yes,No,No,Ellicott,Yes,East Side,,No,No,No,,,,,,,,,,,,,,,,,,,
Community Action Information Center,Rosa Gibson Garden of Love,501 Northampton Street,Buffalo,NY,14208,3402,,,No,Yes,No,No,Ellicott,Yes,East Side,,No,No,No,,,,,,,,,,,,,,,,,,,
Community Action Information Center,Rosa Gibson Garden of Love,108 Wholers Avenue,Buffalo,NY,14208,3300,846,12.9,No,No,No,Yes,Ellicott,Yes,East Side,,No,No,No,,,,,,,,,,,,,,,,,,,
Community Action Information Center,Rosa Gibson Garden of Love,112 Wholers Avenue,Buffalo,NY,14208,3300,846,12.9,No,No,No,Yes,Ellicott,Yes,East Side,,No,No,No,,,,,,,,,,,,,,,,,,,
Community Action Information Center,Rosa Gibson Garden of Love,495 Northampton Street,Buffalo,NY,14208,3270,,,No,Yes,No,No,Ellicott,Yes,East Side,1997,No,No,No,,,,,,,,,,,,,,,,,,,
Connecticut Street Association,Sculpture Garden,330 Connecticut Street,Buffalo,NY,14213,2673,0,,No,Yes,No,No,Niagara,Yes,West Side,2004,No,No,No,,,,,,,,,,,,,,,,,,,
Cottage District Association,Cottage District Community Garden,60 York Street,Buffalo,NY,14213,5610,396,7.1,No,No,No,Yes,Niagara,No,West Side,2008,No,Yes,Yes,2013,7,,3,4,0,,1,,,,,,,,,4,2,1
Courtland Avenue Block Club,Courtland Avenue Community Tree Farm,58 Courtland Avenue,Buffalo,NY,14215,3060,0,,No,No,No,Yes,Lovejoy,No,East Side,2009,No,No,No,,,,,,,,,,,,,,,,,,,
Durham Memorial AME Zion Church,The Garden of Stewardship (Central City Café),250 Clinton Street,Buffalo,NY,14204,,,,Yes,No,Yes,No,Ellicott,No,East Side,2011,No,No,No,2013,4,,2,2,1,Iranian,2,1,,,,,,1,,,,
Elim Community Corp,Elim Community Garden,70 Chalmers Avenue,Buffalo,NY,14223,,172,,Yes,No,Yes,No,Masten,No,Fillmore-Leroy,2012,No,No,No,,,,,,,,,,,,,,,,,,,
Evergreen Health Services,Evergreen Health Services Garden,206 S. Elmwood,Buffalo,NY,14201,,60,,No,No,Yes,No,Fillmore,No,Downtown,2011,No,No,No,,,,,,,,,,,,,,,,,,,
Evergreen Health Services,Life Memorial Park,458 Porter Ave,Buffalo,NY,14201,6902,0,,No,No,No,No,Niagara,Yes,West Side,,No,No,No,,,,,,,,,,,,,,,,,,,
Fargo Estate Neighborhood Association,Serenity Garden,363 West Avenue,Buffalo,NY,14201,5000,356,7.1,Yes,No,No,Yes,Niagara,Yes,Lower West Side,2007,No,No,No,2013,6,,2,4,2,Cuba,1,,,2,,,Spanish,,,3,3,
Fargo Estate Neighborhood Association,Mulberry Garden,220 Jersey Street,Buffalo,NY,14201,8250,402,4.9,Yes,No,No,Yes,Niagara,No,Lower West Side,2010,No,No,No,,,,,,,,,,,,,,,,,,,
Fargo Estate Neighborhood Association,Fargo Estate Garden,272 Jersey Street,Buffalo,NY,14201,3060,0,,Yes,Yes,No,No,Niagara,Yes,Lower West Side,1998,No,No,No,,,,,,,,,,,,,,,,,,,
Fargo Street Neighborhood Association,Garden in the Sun,382 Fargo Avenue,Buffalo,NY,14213,4950,192,3.9,Yes,No,No,Yes,Niagara,Yes,Lower West Side,2009,No,No,No,,,,,,,,,,,,,,,,,,,
First Presbyterian Church,First Presbyterian Church Community Garden,9 St. Johns Place,Buffalo,NY,14201,3605,,,No,No,No,Yes,Ellicott,No,Allentown,2011,No,Yes,No,,,,,,,,,,,,,,,,,,,
Food Bank of WNY,Food Bank Community Garden,91 Holt Street,Buffalo,NY,14206,,1920,,No,No,Yes,No,Fillmore,Yes,East Side,1992,No,No,No,,,,,,,,,,,,,,,,,,,
Friendly Fruitbelt Block Club/UB,Fruitbelt Community Garden,288 Carlton Street,Buffalo,NY,14204,2898,0,,Yes,Yes,No,No,Ellicott,Yes,Fruitbelt,Late 1990s,No,No,No,,,,,,,,,,,,,,,,,,,
Friendly Fruitbelt Block Club/UB,Fruitbelt Community Garden,290 Carlton Street,Buffalo,NY,14204,2500,0,,Yes,Yes,No,No,Ellicott,Yes,Fruitbelt,,No,No,No,,,,,,,,,,,,,,,,,,,
Friendly Fruitbelt Block Club/UB,Fruitbelt Community Garden,294 Carlton Street,Buffalo,NY,14204,2704,0,,Yes,Yes,No,No,Ellicott,Yes,Fruitbelt,,No,No,No,,,,,,,,,,,,,,,,,,,
Friendly Fruitbelt Block Club/UB,Fruitbelt Community Garden,300 Carlton Street,Buffalo,NY,14204,4439,0,,Yes,Yes,No,No,Ellicott,Yes,Fruitbelt,,No,No,No,,,,,,,,,,,,,,,,,,,
Friendly Fruitbelt Block Club/UB,Fruitbelt Community Garden,306 Carlton Street,Buffalo,NY,14204,2469,0,,Yes,Yes,No,No,Ellicott,Yes,Fruitbelt,,No,No,No,,,,,,,,,,,,,,,,,,,
Friendly Fruitbelt Block Club/UB,Fruitbelt Community Garden,304 Carlton Street,Buffalo,NY,14204,4045,0,,Yes,Yes,No,No,Ellicott,Yes,Fruitbelt,,No,No,No,,,,,,,,,,,,,,,,,,,
Friendly Fruitbelt Block Club/UB,Fruitbelt Community Garden,296 Carlton Street,Buffalo,NY,14204,2415,0,,Yes,No,Yes,No,Ellicott,Yes,Fruitbelt,,No,No,No,,,,,,,,,,,,,,,,,,,
Friendly Fruitbelt Block Club/UB,Fruitbelt Community Garden,126 Orange Street,Buffalo,NY,14204,4920,0,,Yes,No,Yes,No,Ellicott,Yes,Fruitbelt,,No,No,No,,,,,,,,,,,,,,,,,,,
Friendly Fruitbelt Block Club/UB,Fruitbelt Community Garden,155 Orange Street,Buffalo,NY,14204,1800,288,8.7,Yes,No,Yes,No,Ellicott,Yes,Fruitbelt,,No,No,No,,,,,,,,,,,,,,,,,,,
Friendly Fruitbelt Block Club/UB,Fruitbelt Community Garden,157 Orange Street,Buffalo,NY,14204,1500,288,8.7,Yes,No,Yes,No,Ellicott,Yes,Fruitbelt,,No,No,No,,,,,,,,,,,,,,,,,,,
Friendly Fruitbelt Block Club/UB,Fruitbelt Community Garden,136 Peach Street,Buffalo,NY,14204,3000,0,,Yes,No,Yes,No,Ellicott,Yes,Fruitbelt,,No,Yes,No,,,,,,,,,,,,,,,,,,,
Friendly Fruitbelt Block Club/UB,Fruitbelt Community Garden,886 Virginia Street,Buffalo,NY,14204,200,0,,No,No,No,No,Ellicott,Yes,Fruitbelt,,No,No,No,,,,,,,,,,,,,,,,,,,
Friendly Fruitbelt Block Club/UB,Fruitbelt Community Garden,982 Virginia Street,Buffalo,NY,14204,300,0,,No,No,No,No,Ellicott,Yes,Fruitbelt,,No,No,No,,,,,,,,,,,,,,,,,,,
Friendly Fruitbelt Block Club/UB,Fruitbelt Community Garden,984 Virginia Street,Buffalo,NY,14204,780,0,,No,No,No,No,Ellicott,Yes,Fruitbelt,,No,No,No,,,,,,,,,,,,,,,,,,,
Friendly Fruitbelt Block Club/UB,Fruitbelt Community Garden,986 Virginia Street,Buffalo,NY,14204,1238,0,,No,No,No,No,Ellicott,Yes,Fruitbelt,,No,No,No,,,,,,,,,,,,,,,,,,,
Fruitbelt Coalition,Fruitbelt Coalition,37 Mulberry,Buffalo,NY,14204,1000,0,,No,Yes,No,No,Ellicott,Yes,Fruitbelt,2001,No,No,No,,,,,,,,,,,,,,,,,,,
Girard Place Block Club,Girard Place Garden of Love,66 Girard Place,Buffalo,NY,14211,4950,0,,Yes,No,No,Yes,Ellicott,Yes,Humboldt Park,2005,No,No,No,,,,,,,,,,,,,,,,,,,
Girard Place Block Club,Girard Place Garden of Love,72 Girard,Buffalo,NY,14211,4950,0,,No,No,No,Yes,Ellicott,No,Humboldt Park,2005,No,No,No,,,,,,,,,,,,,,,,,,,
Glenwood/Fillmore/Kehr Block Club,Glenwood Community Garden,756 Glenwood Avenue,Buffalo,NY,14211,3390,256,3.8,Yes,No,No,Yes,Masten,Yes,Humboldt Park,,No,No,No,,,,,,,,,,,,,,,,,,,
Glenwood/Fillmore/Kehr Block Club,Glenwood Community Garden,760 Glenwood Avenue,Buffalo,NY,14211,3390,256,3.8,Yes,No,No,Yes,Masten,Yes,Humboldt Park,,No,No,No,,,,,,,,,,,,,,,,,,,
Greenwood Place,Greenwood Place,97 Greenwood Place,Buffalo,NY,14213,3886,750,10.4,No,No,No,Yes,Niagara,No,West Side,2012,No,Yes,No,2013,10,,4,6,0,,1,,,,,,,,1,8,1,
Greenwood Place,Greenwood Place,99 Greenwood Place,Buffalo,NY,14213,3350,750,10.4,No,No,No,Yes,Niagara,Yes,West Side,,No,Yes,No,,,,,,,,,,,,,,,,,,,
Helen Street Block Club,Helen Street Community Garden,11 Helen Street,Buffalo,NY,14213,2391,,,No,No,Yes,No,Niagara,Yes,West Side,1997,No,No,No,,,,,,,,,,,,,,,,,,,
Humber Grider Block Club,Humber Grider Garden,852 E Delavan,Buffalo,NY,14215,8947,0,,Yes,No,No,Yes,Masten,Yes,Kensington,2003,No,No,No,,,,,,,,,,,,,,,,,,,
Journey's End,Breckenridge Refugee Garden,345 Breckenridge,Buffalo,NY,14213,2835,625,22,No,No,No,Yes,Niagara,No,West Side,2012,No,No,Yes,,,,,,,,,,,,,,,,,,,
Lombard Clark Block Club,Lombard Clark Block Club Garden,71 Lombard Street,Buffalo,NY,14212,3150,64,2,Yes,No,No,Yes,Fillmore,Yes,East Side,2011,No,No,No,2013,5,,3,2,,,1,,,,,,,,,2,3,
Nature EdVentures,Valley Community Garden,93 Leddy Street,Buffalo,NY,14210,,512,,No,No,Yes,No,Fillmore,No,First Ward,2009,No,No,No,,,,,,,,,,,,,,,,,,,
Niagara/Jersey,Niagara and Jersey Garden,584 Niagara Street,Buffalo,NY,14201,3696,237,3.1,Yes,No,No,Yes,Ellicott,No,Lower West Side,2002,No,No,No,2013,5,,3,2,1,,,,,,,,English/ Spanish,4,0,,,
Niagara/Jersey,Niagara and Jersey Garden,586 Niagara Street,Buffalo,NY,14201,3894,237,3.1,No,No,No,Yes,Ellicott,No,Lower West Side,,No,No,No,,,,,,,,,,,,,,,,,,,
Nickel City Co-Op,Lugar Hermosa de Pedro,278 Hudson Street,Buffalo,NY,14201,4070,204,5,Yes,No,No,Yes,Ellicott,Yes,Lower West Side,2011,No,Yes,No,2013,6,,2,4,0,,,,,,,,,1,,2,3,
Old First Ward Community Association,Old First Ward Community Garden,104 Vincennes Street,Buffalo,NY,14204,2550,392,14.2,Yes,No,Yes,No,Fillmore,No,First Ward,2012,No,No,No,,,,,,,,,,,,,,,,,,,
Prospect Avenue,Prospect Community Garden,111 Prospect Avenue,Buffalo,NY,14201,,,,No,No,No,Yes,Fillmore,No,Lower West Side,2005,No,No,No,,,,,,,,,,,,,,,,,,,
Prospect Avenue,Prospect Community Garden,109 Prospect Avenue,Buffalo,NY,14201,3380,176,5.2,No,No,No,Yes,Fillmore,Yes,Lower West Side,2005,No,No,No,,,,,,,,,,,,,,,,,,,
Putnam Street Garden Club,Putnam Street Community Garden,83 Putnam Street,Buffalo,NY,14213,3833,269,7,No,No,No,Yes,Niagara,Yes,West Side,2010,No,No,Yes,,,,,,,,,,,,,,,,,,,
Response to Love Center,Response to Love Community Garden,130 Kosciuszko Street,Buffalo,NY,14212,,,,No,No,No,No,Fillmore,No,Polonia,,No,No,No,,,,,,,,,,,,,,,,,,,
Resurrection Lutheran Church,Resurrection Garden,1609 Genesee Street,Buffalo,NY,14211,,765,,No,No,No,No,Fillmore,Yes,East Side,2010,No,No,No,2013,15,,3,12,0,,2,1,,,,,,,,5,7,3
Riverside Planters,Riverside Peace Garden,179 Ontario Street,Buffalo,NY,14207,,221,,No,No,No,Yes,North,No,Riverside,2011,No,No,Yes,2013,5,,3,2,0,,1,,,2,,,,,4,,1,
Schiller Park Youth Services,Youth Operated Community Garden,2056 Genesee Street,Buffalo,NY,14203,,0,,Yes,No,No,Yes,Lovejoy,No,Schiller Park,2011,No,No,No,,,,,,,,,,,,,,,,,,,
Seneca Babcock Association,Babcock Community Garden,1179 Seneca Street,Buffalo,NY,14210,7800,0,0,No,Yes,No,No,Fillmore,Yes,East Side,2004,No,No,No,2013,10,,5,5,,,1,2,,3,,,,,,,,
Seneca Street Development Corporation,Seneca Babcock Neighborhood Community Garden,1179 Seneca Street,Buffalo,NY,14210,7590,1154,15.2,Yes,No,Yes,No,Lovejoy,Yes,East Side,2008,No,No,No,,,,,,,,,,,,,,,,,,,
Sobieski Beautification Committee,Barakah Community Garden,384 Sweet Street,Buffalo,NY,14211,2866,48,1.8,Yes,No,Yes,No,Fillmore,Yes,East Side,2012,No,No,No,,,,,,,,,,,,,,,,,,,
South Buffalo CREW and Cazenovia Resource Center,Seneca Street Community Garden,2195 Seneca Street,Buffalo,NY,14210,4410,82,1.9,No,No,No,Yes,South,No,South Buffalo,2011,No,No,No,,,,,,,,,,,,,,,,,,,
South Fillmore Block Club,South Fillmore Block Club Garden,74 Gibson Street,Buffalo,NY,14206,2822,96,3.4,Yes,No,No,Yes,Fillmore,Yes,,2012,No,No,No,2013,5,,3,2,,,1,,,,,,,,,2,3,
Spirit of Truth Ministry of Lovejoy,Spirit of Truth Community Garden,115 Gold Street,Buffalo,NY,14206,,,,Yes,No,No,Yes,Lovejoy,No,Bailey-Lovejoy,2011,No,No,No,2013,11,,5,6,0,,1,2,,3,,,,4,2,5,1,
St. Lawrence RC Church Society,St Lawrence Church,1477 East Delevan Avenue,Buffalo,NY,14215,,72,,Yes,No,Yes,No,University,No,Kensington,2012,No,No,No,,,,,,,,,,,,,,,,,,,
University Block Club Coalition,Bailey-Dartmouth Community Garden,3259 Bailey Avenue,Buffalo,NY,14215,,0,,Yes,No,No,Yes,University,Yes,University District,2005,No,No,No,,,,,,,,,,,,,,,,,,,
University Heights Collaborative,University Heights Collaborative Garden,73 Tyler Street,Buffalo,NY,14214,3680,192,5.2,Yes,No,No,Yes,University,No,University Heights,2013,No,No,Yes,,,,,,,,,,,,,,,,,,,
Vermont Triangle Block Club,Vermont Triangle Community Garden,395 Vermont Street,Buffalo,NY,14213,3944,352,8.9,Yes,No,No,Yes,Niagara,Yes,West Side,1999,No,No,No,2013,15,,5,10,4,Nepal,1,3,2,,,,"English, Nepali, Karen",,,5,10,
VETTE Block club,Trinity/Tupper Community Garden,92 Trinity Place,Buffalo,NY,14201,1254,808,14.4,No,No,No,Yes,Fillmore,No,Lower West Side,2011,No,Yes,No,2013,23,,14,19,2,"Britain, Latin America",1,2,,3,,,"Spanish, English",5,5,20,8,
VETTE Block club,Trinity/Tupper Community Garden,209 W Tupper Street,Buffalo,NY,14201,4347,808,14.4,No,No,No,Yes,Fillmore,No,Lower West Side,,No,Yes,No,,,,,,,,,,,,,,,,,,,
Victoria Avenue Block Club,Victoria Avenue Block Club Garden,195 Victoria Avenue,Buffalo,NY,14214,3450,306,8.9,Yes,No,Yes,No,Masten,Yes,Fillmore-Leroy,2012,No,Yes,Yes,,,,,,,,,,,,,,,,,,,
Wakefield Avenue Block Club,Wakefield Community Garden,193 Wakefield Avenue,Buffalo,NY,14214,3600,0,,Yes,Yes,No,No,Masten,Yes,Fillmore-Leroy,2010,No,No,No,,,,,,,,,,,,,,,,,,,
Wakefield Avenue Block Club,Wakefield Community Garden,195 Wakefield Avenue,Buffalo,NY,14214,3600,0,,Yes,Yes,No,No,Masten,Yes,Fillmore-Leroy,,No,No,No,,,,,,,,,,,,,,,,,,,
We Care Neighborhood Block Club,We Care Community Gardens,595 Sycamore Street,Buffalo,NY,14212,,0,,Yes,Yes,No,No,Fillmore,No,East Side,Mid 2000s,No,No,No,,,,,,,,,,,,,,,,,,,
We Care Neighborhood Block Club,We Care Community Gardens,601 Sycamore Street,Buffalo,NY,14212,1740,0,,Yes,Yes,No,No,Fillmore,Yes,East Side,,No,No,No,,,,,,,,,,,,,,,,,,,
We Care Neighborhood Block Club,We Care Community Gardens,621 Sycamore Street,Buffalo,NY,14212,2343,0,,Yes,Yes,No,No,Fillmore,Yes,East Side,,No,No,No,,,,,,,,,,,,,,,,,,,
We Care Neighborhood Block Club,We Care Community Gardens,623 Sycamore Street,Buffalo,NY,14212,1972,0,,Yes,Yes,No,No,Fillmore,Yes,East Side,,No,No,No,,,,,,,,,,,,,,,,,,,
We Care Neighborhood Block Club,We Care Paderewski Community Garden,400 Paderewski Drive,Buffalo,NY,14212,5846,0,,Yes,Yes,No,No,Fillmore,Yes,East Side,,No,No,No,,,,,,,,,,,,,,,,,,,
Wholistic Health Collective,Wholistic Health Collective Garden,134 North Parade,Buffalo,NY,14208,4445,192,,Yes,No,Yes,No,Masten,No,Humboldt Park,2013,No,No,No,2013,9,,4,5,0,,,1,,,,,,,2,5,,
Woltz Avenue Block Club,Woltz Community Garden,94 Woltz Avenue,Buffalo,NY,14212,3360,0,,No,Yes,No,No,Fillmore,Yes,Polonia,2009,No,No,No,,,,,,,,,,,,,,,,,,,
Woltz Avenue Block Club,Woltz Community Garden,96 Woltz Avenue,Buffalo,NY,14212,3360,0,,No,Yes,No,No,Fillmore,Yes,Polonia,,No,No,No,,,,,,,,,,,,,,,,,,,
Woodlawn United Block Club,Woodlawn United Block Club,73 Woodlawn Avenue,Buffalo,NY,14209,1652,,,No,No,No,No,Masten,Yes,East Side,,No,No,No,,,,,,,,,,,,,,,,,,,
Woodlawn United Block Club,Woodlawn United Block Club Garden,71 Woodlawn Avenue,,,,1652,,,No,No,No,No,,No,,,No,No,No,,,,,,,,,,,,,,,,,,,
