Name of Lead Agency,Agency Address - Line 1,Agency Address - Line 2,City,Zip Code,Lead Agency Website,Primary Contact Person,Lead Agency Phone Number,Lead Agency Email,Name of Program,Program Description,Number of Sites,Primary Site Address,,City,Zip Code,Primary Site Contact Person,Primary Site Phone Number,Primary Site Email Address,Area(s) of Focus,Days of Program Operation,Hours of Program Operation,Period of Operation,Eligibility Requirements,Capacity of Program,Grades Served,License Status,Fees,Transportation Provision,Does your program serve meals?,Please share any additional comments or notes
Buffalo Soccer Club,"403 Main St., Suite 200",,Buffalo,14203,www.buffalosoccerclub.org,Anna-Lesa Calvert,7164088738,calvert@buffalosoccerclub.org,Soccer For Success,"Soccer for Success® is the U.S. Soccer Foundation’s free afterschool program that uses soccer as a tool to address children's health issues and juvenile delinquency, while promoting healthy lifestyles in urban underserved communities.  There are four componentThe U.S. Soccer Foundation has partnered with the Independent Health Foundation, Buffalo Soccer Club, and the United Way of Buffalo and Erie County to operate Soccer for Success sites – providing thousands of children in grades K-8 with free after-school programming.s of the Soccer for Success program- physical activity, nutrition, mentorship, and family engagement. ",1,Durant Park,Durant St & Houston St,Buffalo,14220,Anna-Lesa Calvert,7162486234,calvert@buffalosoccerclub.org,Sports/ Recreation/ Fitness,"Monday, Tuesday, Wednesday, Thursday, Friday",,School Year,,,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th",Not Applicable,,We do not provide transportation,No meals provided,
Buffalo Soccer Club,"403 Main St., Suite 200",,Buffalo,14203,www.buffalosoccerclub.org,Anna-Lesa Calvert,7164088738,calvert@buffalosoccerclub.org,Soccer For Success,"Soccer for Success® is the U.S. Soccer Foundation’s free afterschool program that uses soccer as a tool to address children's health issues and juvenile delinquency, while promoting healthy lifestyles in urban underserved communities.  There are four componentThe U.S. Soccer Foundation has partnered with the Independent Health Foundation, Buffalo Soccer Club, and the United Way of Buffalo and Erie County to operate Soccer for Success sites – providing thousands of children in grades K-8 with free after-school programming.s of the Soccer for Success program- physical activity, nutrition, mentorship, and family engagement. ",1,Tapestry Charter School,65 Great Arrow Ave,Buffalo,14216,Anna-Lesa Calvert,7162486234,calvert@buffalosoccerclub.org,Sports/ Recreation/ Fitness,"Monday, Tuesday, Wednesday, Thursday, Friday",,School Year,,,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th",Not Applicable,,We do not provide transportation,No meals provided,
Buffalo Soccer Club,"403 Main St., Suite 200",,Buffalo,14203,www.buffalosoccerclub.org,Anna-Lesa Calvert,7164088738,calvert@buffalosoccerclub.org,Soccer For Success,"Soccer for Success® is the U.S. Soccer Foundation’s free afterschool program that uses soccer as a tool to address children's health issues and juvenile delinquency, while promoting healthy lifestyles in urban underserved communities.  There are four componentThe U.S. Soccer Foundation has partnered with the Independent Health Foundation, Buffalo Soccer Club, and the United Way of Buffalo and Erie County to operate Soccer for Success sites – providing thousands of children in grades K-8 with free after-school programming.s of the Soccer for Success program- physical activity, nutrition, mentorship, and family engagement. ",1,JFK,114 Hickory St,Buffalo,14202,Anna-Lesa Calvert,7162486234,calvert@buffalosoccerclub.org,Sports/ Recreation/ Fitness,"Monday, Tuesday, Wednesday, Thursday, Friday",,School Year,,,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th",Not Applicable,,We do not provide transportation,No meals provided,
Buffalo Soccer Club,"403 Main St., Suite 200",,Buffalo,14203,www.buffalosoccerclub.org,Anna-Lesa Calvert,7164088738,calvert@buffalosoccerclub.org,Soccer For Success,"Soccer for Success® is the U.S. Soccer Foundation’s free afterschool program that uses soccer as a tool to address children's health issues and juvenile delinquency, while promoting healthy lifestyles in urban underserved communities.  There are four componentThe U.S. Soccer Foundation has partnered with the Independent Health Foundation, Buffalo Soccer Club, and the United Way of Buffalo and Erie County to operate Soccer for Success sites – providing thousands of children in grades K-8 with free after-school programming.s of the Soccer for Success program- physical activity, nutrition, mentorship, and family engagement. ",1,Mt. Olive Baptist Church,701 E. Delavan,Buffalo,14215,Anna-Lesa Calvert,7162486234,calvert@buffalosoccerclub.org,Sports/ Recreation/ Fitness,"Monday, Tuesday, Wednesday, Thursday, Friday",,School Year,,,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th",Not Applicable,,We do not provide transportation,No meals provided,
Buffalo Soccer Club,"403 Main St., Suite 200",,Buffalo,14203,www.buffalosoccerclub.org,Anna-Lesa Calvert,7164088738,calvert@buffalosoccerclub.org,Soccer For Success,"Soccer for Success® is the U.S. Soccer Foundation’s free afterschool program that uses soccer as a tool to address children's health issues and juvenile delinquency, while promoting healthy lifestyles in urban underserved communities.  There are four componentThe U.S. Soccer Foundation has partnered with the Independent Health Foundation, Buffalo Soccer Club, and the United Way of Buffalo and Erie County to operate Soccer for Success sites – providing thousands of children in grades K-8 with free after-school programming.s of the Soccer for Success program- physical activity, nutrition, mentorship, and family engagement. ",1,PS 67,911 Abbott Rd,Buffalo,14220,Anna-Lesa Calvert,7162486234,calvert@buffalosoccerclub.org,Sports/ Recreation/ Fitness,"Monday, Tuesday, Wednesday, Thursday, Friday",,School Year,,,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th",Not Applicable,,We do not provide transportation,No meals provided,
Buffalo Soccer Club,"403 Main St., Suite 200",,Buffalo,14203,www.buffalosoccerclub.org,Anna-Lesa Calvert,7164088738,calvert@buffalosoccerclub.org,Soccer For Success,"Soccer for Success® is the U.S. Soccer Foundation’s free afterschool program that uses soccer as a tool to address children's health issues and juvenile delinquency, while promoting healthy lifestyles in urban underserved communities.  There are four componentThe U.S. Soccer Foundation has partnered with the Independent Health Foundation, Buffalo Soccer Club, and the United Way of Buffalo and Erie County to operate Soccer for Success sites – providing thousands of children in grades K-8 with free after-school programming.s of the Soccer for Success program- physical activity, nutrition, mentorship, and family engagement. ",1,Masten B&G Club,397 Northland Ave,Buffalo,14208,Anna-Lesa Calvert,7162486234,calvert@buffalosoccerclub.org,Sports/ Recreation/ Fitness,"Monday, Tuesday, Wednesday, Thursday, Friday",,School Year,,,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th",Not Applicable,,We do not provide transportation,No meals provided,
Buffalo Soccer Club,"403 Main St., Suite 200",,Buffalo,14203,www.buffalosoccerclub.org,Anna-Lesa Calvert,7164088738,calvert@buffalosoccerclub.org,Soccer For Success,"Soccer for Success® is the U.S. Soccer Foundation’s free afterschool program that uses soccer as a tool to address children's health issues and juvenile delinquency, while promoting healthy lifestyles in urban underserved communities.  There are four componentThe U.S. Soccer Foundation has partnered with the Independent Health Foundation, Buffalo Soccer Club, and the United Way of Buffalo and Erie County to operate Soccer for Success sites – providing thousands of children in grades K-8 with free after-school programming.s of the Soccer for Success program- physical activity, nutrition, mentorship, and family engagement. ",1,William C. Baird B&G Club,2061 Bailey Ave,Buffalo,14211,Anna-Lesa Calvert,7162486234,calvert@buffalosoccerclub.org,Sports/ Recreation/ Fitness,"Monday, Tuesday, Wednesday, Thursday, Friday",,School Year,,,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th",Not Applicable,,We do not provide transportation,No meals provided,
Buffalo Soccer Club,"403 Main St., Suite 200",,Buffalo,14203,www.buffalosoccerclub.org,Anna-Lesa Calvert,7164088738,calvert@buffalosoccerclub.org,Soccer For Success,"Soccer for Success® is the U.S. Soccer Foundation’s free afterschool program that uses soccer as a tool to address children's health issues and juvenile delinquency, while promoting healthy lifestyles in urban underserved communities.  There are four componentThe U.S. Soccer Foundation has partnered with the Independent Health Foundation, Buffalo Soccer Club, and the United Way of Buffalo and Erie County to operate Soccer for Success sites – providing thousands of children in grades K-8 with free after-school programming.s of the Soccer for Success program- physical activity, nutrition, mentorship, and family engagement. ",1,Elmwood Village Charter School Boys & Girls Club,40 Days Park ,Buffalo,14201,Anna-Lesa Calvert,7162486234,calvert@buffalosoccerclub.org,Sports/ Recreation/ Fitness,"Monday, Tuesday, Wednesday, Thursday, Friday",,School Year,,,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th",Not Applicable,,We do not provide transportation,No meals provided,
Buffalo Soccer Club,"403 Main St., Suite 200",,Buffalo,14203,www.buffalosoccerclub.org,Anna-Lesa Calvert,7164088738,calvert@buffalosoccerclub.org,Soccer For Success,"Soccer for Success® is the U.S. Soccer Foundation’s free afterschool program that uses soccer as a tool to address children's health issues and juvenile delinquency, while promoting healthy lifestyles in urban underserved communities.  There are four componentThe U.S. Soccer Foundation has partnered with the Independent Health Foundation, Buffalo Soccer Club, and the United Way of Buffalo and Erie County to operate Soccer for Success sites – providing thousands of children in grades K-8 with free after-school programming.s of the Soccer for Success program- physical activity, nutrition, mentorship, and family engagement. ",1,Buffalo United Charter School Boys & Girls Club,325 Manhattan Ave,Buffalo,14214,Anna-Lesa Calvert,7162486234,calvert@buffalosoccerclub.org,Sports/ Recreation/ Fitness,"Monday, Tuesday, Wednesday, Thursday, Friday",,School Year,,,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th",Not Applicable,,We do not provide transportation,No meals provided,
Buffalo Soccer Club,"403 Main St., Suite 200",,Buffalo,14203,www.buffalosoccerclub.org,Anna-Lesa Calvert,7164088738,calvert@buffalosoccerclub.org,Soccer For Success,"Soccer for Success® is the U.S. Soccer Foundation’s free afterschool program that uses soccer as a tool to address children's health issues and juvenile delinquency, while promoting healthy lifestyles in urban underserved communities.  There are four componentThe U.S. Soccer Foundation has partnered with the Independent Health Foundation, Buffalo Soccer Club, and the United Way of Buffalo and Erie County to operate Soccer for Success sites – providing thousands of children in grades K-8 with free after-school programming.s of the Soccer for Success program- physical activity, nutrition, mentorship, and family engagement. ",1,Babcock Boys & Girls Club,282 Babcock St,Buffalo,14210,Anna-Lesa Calvert,7162486234,calvert@buffalosoccerclub.org,Sports/ Recreation/ Fitness,"Monday, Tuesday, Wednesday, Thursday, Friday",,School Year,,,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th",Not Applicable,,We do not provide transportation,No meals provided,
Buffalo Soccer Club,"403 Main St., Suite 200",,Buffalo,14203,www.buffalosoccerclub.org,Anna-Lesa Calvert,7164088738,calvert@buffalosoccerclub.org,Soccer For Success,"Soccer for Success® is the U.S. Soccer Foundation’s free afterschool program that uses soccer as a tool to address children's health issues and juvenile delinquency, while promoting healthy lifestyles in urban underserved communities.  There are four componentThe U.S. Soccer Foundation has partnered with the Independent Health Foundation, Buffalo Soccer Club, and the United Way of Buffalo and Erie County to operate Soccer for Success sites – providing thousands of children in grades K-8 with free after-school programming.s of the Soccer for Success program- physical activity, nutrition, mentorship, and family engagement. ",1,Butler Boys & Girls Club,370 Massachusetts Ave,Buffalo,14213,Anna-Lesa Calvert,7162486234,calvert@buffalosoccerclub.org,Sports/ Recreation/ Fitness,"Monday, Tuesday, Wednesday, Thursday, Friday",,School Year,,,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th",Not Applicable,,We do not provide transportation,No meals provided,
Buffalo Soccer Club,"403 Main St., Suite 200",,Buffalo,14203,www.buffalosoccerclub.org,Anna-Lesa Calvert,7164088738,calvert@buffalosoccerclub.org,Soccer For Success,"Soccer for Success® is the U.S. Soccer Foundation’s free afterschool program that uses soccer as a tool to address children's health issues and juvenile delinquency, while promoting healthy lifestyles in urban underserved communities.  There are four componentThe U.S. Soccer Foundation has partnered with the Independent Health Foundation, Buffalo Soccer Club, and the United Way of Buffalo and Erie County to operate Soccer for Success sites – providing thousands of children in grades K-8 with free after-school programming.s of the Soccer for Success program- physical activity, nutrition, mentorship, and family engagement. ",1,Westminster Community Charter School Boys & Girls Club,24 Westminster Ave,Buffalo,14215,Anna-Lesa Calvert,7162486234,calvert@buffalosoccerclub.org,Sports/ Recreation/ Fitness,"Monday, Tuesday, Wednesday, Thursday, Friday",,School Year,,,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th",Not Applicable,,We do not provide transportation,No meals provided,
Buffalo Soccer Club,"403 Main St., Suite 200",,Buffalo,14203,www.buffalosoccerclub.org,Anna-Lesa Calvert,7164088738,calvert@buffalosoccerclub.org,Soccer For Success,"Soccer for Success® is the U.S. Soccer Foundation’s free afterschool program that uses soccer as a tool to address children's health issues and juvenile delinquency, while promoting healthy lifestyles in urban underserved communities.  There are four componentThe U.S. Soccer Foundation has partnered with the Independent Health Foundation, Buffalo Soccer Club, and the United Way of Buffalo and Erie County to operate Soccer for Success sites – providing thousands of children in grades K-8 with free after-school programming.s of the Soccer for Success program- physical activity, nutrition, mentorship, and family engagement. ",1,Eggerstville Boys & Girls Club,4110 Bailey Ave,Buffalo,14226,Anna-Lesa Calvert,7162486234,calvert@buffalosoccerclub.org,Sports/ Recreation/ Fitness,"Monday, Tuesday, Wednesday, Thursday, Friday",,School Year,,,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th",Not Applicable,,We do not provide transportation,No meals provided,
Buffalo Soccer Club,"403 Main St., Suite 200",,Buffalo,14203,www.buffalosoccerclub.org,Anna-Lesa Calvert,7164088738,calvert@buffalosoccerclub.org,Soccer For Success,"Soccer for Success® is the U.S. Soccer Foundation’s free afterschool program that uses soccer as a tool to address children's health issues and juvenile delinquency, while promoting healthy lifestyles in urban underserved communities.  There are four componentThe U.S. Soccer Foundation has partnered with the Independent Health Foundation, Buffalo Soccer Club, and the United Way of Buffalo and Erie County to operate Soccer for Success sites – providing thousands of children in grades K-8 with free after-school programming.s of the Soccer for Success program- physical activity, nutrition, mentorship, and family engagement. ",1,Southside Boys & Girls Club,46 Magnolia Ave,Buffalo,14220,Anna-Lesa Calvert,7162486234,calvert@buffalosoccerclub.org,Sports/ Recreation/ Fitness,"Monday, Tuesday, Wednesday, Thursday, Friday",,School Year,,,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th",Not Applicable,,We do not provide transportation,No meals provided,
Buffalo Soccer Club,"403 Main St., Suite 200",,Buffalo,14203,www.buffalosoccerclub.org,Anna-Lesa Calvert,7164088738,calvert@buffalosoccerclub.org,Soccer For Success,"Soccer for Success® is the U.S. Soccer Foundation’s free afterschool program that uses soccer as a tool to address children's health issues and juvenile delinquency, while promoting healthy lifestyles in urban underserved communities.  There are four componentThe U.S. Soccer Foundation has partnered with the Independent Health Foundation, Buffalo Soccer Club, and the United Way of Buffalo and Erie County to operate Soccer for Success sites – providing thousands of children in grades K-8 with free after-school programming.s of the Soccer for Success program- physical activity, nutrition, mentorship, and family engagement. ",1,PS 3,255 Porter Ave,Buffalo,14201,Anna-Lesa Calvert,7162486234,calvert@buffalosoccerclub.org,Sports/ Recreation/ Fitness,"Monday, Tuesday, Wednesday, Thursday, Friday",,School Year,,,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th",Not Applicable,,We do not provide transportation,No meals provided,
Buffalo Soccer Club,"403 Main St., Suite 200",,Buffalo,14203,www.buffalosoccerclub.org,Anna-Lesa Calvert,7164088738,calvert@buffalosoccerclub.org,Soccer For Success,"Soccer for Success® is the U.S. Soccer Foundation’s free afterschool program that uses soccer as a tool to address children's health issues and juvenile delinquency, while promoting healthy lifestyles in urban underserved communities.  There are four componentThe U.S. Soccer Foundation has partnered with the Independent Health Foundation, Buffalo Soccer Club, and the United Way of Buffalo and Erie County to operate Soccer for Success sites – providing thousands of children in grades K-8 with free after-school programming.s of the Soccer for Success program- physical activity, nutrition, mentorship, and family engagement. ",1,PS 6,414 S. Division St ,Buffalo,14204,Anna-Lesa Calvert,7162486234,calvert@buffalosoccerclub.org,Sports/ Recreation/ Fitness,"Monday, Tuesday, Wednesday, Thursday, Friday",,School Year,,,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th",Not Applicable,,We do not provide transportation,No meals provided,
