Program,Category,Address,City,State,Zip Code,County,Website,Contact Person,Phone,Fax Number,Email,Age,Cost,Dates,Time,Criteria,Activities,Wheelchair Accessibility,Sponsors,Facebook,Numbers
WNY Adaptive Water Sports,Aquatics,(Mail only) 3621 Stony Point Road,Grand Island,NY,14072,Erie,www.wnyadaptivewatersports.org#http://www.wnyadaptivewatersports.org#,Tom Nowak or Tony Anderson,(716) 553-7670,RSVP (716) 364-8219,nowakrad@aol.com#mailto:nowakrad@aol.com#,10-70,Varies with programs. Donations greatfully accepted.,"Saesonal, By appointment",Various. (SEE ACTIVITIES SECTION FOR DETAILS),,"Sailing and/or Fishing on Saturday Mornings: Begins Early June, 9am to 12pm, Erie Canal Harbor, Central Wharf in Downtown Buffalo. Waterskiing Clinics at Gallagher Beach: Sundays, July 8, August 5, August 26, and September 9, 10am -3pm. See website.",TRUE,,www.facebook.com/WNYAdaptiveWatersports,2
Albright Knox Art Gallery,Art,1285 Elmwood Avenue,Buffalo,NY,14222,Erie,www.albrightknox.org#http://www.albrightknox.org#,Kara Nisbeth,(716) 270-8249 ext. 8249,(716) 882-1958,Jcox@albrightknox.org#mailto:Jcox@albrightknox.org#,Kindergarten and up,No fee,Various,By appointment & for groups only,,Matter at Hand Program,TRUE,,www.facebook.com/Albright-KnoxArtGallery,3
Burchfield Penney Art Center,Art,"Rockwell Hall, Buffalo State College, 1300 Elmwood Avenue",Buffalo,NY,14222,Erie,www.burchfield-penney.org#http://www.burchfield-penney.org#,Education Department,(716) 878-6011,,burchfld@buffalostate.edu#mailto:burchfld@buffalostate.edu#,All ages,No fee,Various,Various,,Museum art based program,TRUE,,www.facebook.com/BurchfieldPenneyArtCenter,6
Starlight Studio and Art Gallery Day Habilitation Program,Art,340 Delaware Avenue,Buffalo,NY,14202,Erie,www.starlightstudio.org#http://www.starlightstudio.org#,Carrie Marcotte,(716) 842-1525,,cmarcotte@Idaofwny.org#mailto:cmarcotte@Idaofwny.org#,,No fee. See waiver enrollment.,Tours by appointment,Various,,Day Habilitation Program. Tours by reservation.,TRUE,,www.facebook.com/StarlightStudioandArtGallery,10
Locust Street Neighborhood Art Classes,Art,138 Locust Street,Buffalo,NY,14204,Erie,,,(716) 852-4562,,locustst@verizon.net#mailto:locustst@verizon.net#,3 years old and up,,Various,Various,,"Painting, drawing, sculpting, black and white photography",FALSE,,www.facebook.com/LocustStreetNeighborhoodArtClasses,7
Challenger Baseball,Baseball,(Mail only) 181 Bernhardt Drive,Snyder,NY,14226,Erie,www.challengerbaseball.wordpress.com#http://www.challengerbaseball.wordpress.com#,Jacqui Berger,(716) 839-1224,,jacqui.berger@gmail.com#mailto:jacqui.berger@gmail.com#,4 and up,$55 a season.,April - July,Sunday mornings,,"Provides an opportunity for adults and children 4 and up to play baseball, regardless of their challenges. Each player is encouraged to reach their individual highest level of play.",TRUE,,,14
"Touching Bases of Erie County, Inc.",Baseball,49 Hillside Parkway,Lancaster,NY,14086,Erie,www.touchingbases.org#http://www.touchingbases.org#,,(716) 681-4330,,h3r11s7@hotmail.com#mailto:h3r11s7@hotmail.com#,18 and up,Registration $40 per player,Monday & Tuesday evenings in August,6:00pm-8:00pm,,Softball league of Erie County for adults with disabilities.,TRUE,,,19
Nickel City Baseball,Baseball,P.O. Box 8,Amherst,NY,14228,Erie,www.nickelcitybaseball.com#http://www.nickelcitybaseball.com#,Sean Lewis,(716) 984-8961,,contact@nickelcitybaseball.com#mailto: contact@nickelcitybaseball.com#,6/18/2014,,Various,Various,Nickel City Baseball is featuring a weekly baseball skills clinic specific to children with Autism and/or Aspergers.,"Children will participate in highly structured, front-loaded activities that focus on improving communication, cognitive skills, gross and fine motor skills, hand-eye coordination, and social performance. The child ratio is approximately 1:5.",TRUE,,www.faceboo.com/NickelCityBaseball,15
"Excalibur Leisure Skills Center, Inc.",Boating,90 North Drive,Buffalo,NY,14216,Erie,www.excaliburls.org#http://www.excaliburls.org#,James and Catherine Catalano,(716) 831-3188,,jim@excaliburls.org#mailto:jim@excaliburls.org#,All ages,Donations accepted,Various,Various,,"Provides accessible boating and fishing opportunities for the developmentally challenged and disadvantaged.
 
 The program site is located at the NFTA boat harbor, 1111 Fuhrmann Boulevard, Buffalo.",TRUE,,,22
WNY Adaptive Water Sports,Boating,(Mail only) 3621 Stony Point Road,Grand Island,NY,14072,Erie,www.wnyadaptivewatersports.org#http://www.wnyadaptivewatersports.org#,Tom Nowak or Tony Anderson,(716) 553-7670,RSVP (716) 364-8219,nowakrad@aol.com#mailto:nowakrad@aol.com#,10-70,Varies with programs. Donations greatfully accepted.,"Seasonal, By appointment",Various,,"Provides disabled veterans and individuals with physical disabilities the means, facilities and access to participate in water sports and other recreational activities to improve their quality of life. Water skiing, boating, fishing, and sailing.",TRUE,,www.facebook.com/WNYAdaptiveWaterSports,26
AMF Mil-Sher Lanes,Bowling,1840 Military Road,Kenmore,NY,14217,Erie,www.afm.com#http://www.afm.com#,Dianne Farr,(716) 873-3004,,,,,"Leagues on Fridays, Saturdays and Sundays",Various,,Bowling with adaptive equipment (bumpers and ramps available). Lanes have complete wheelchair accessibility,TRUE,,,30
AMF Thruway Lanes,Bowling,1550 Walden Avenue,Cheektowaga,NY,14225,Erie,www.amf.com#http://www.amf.com#,,(716) 896-8507,,,,,Various,Various,,Bowling with adaptive equipment (bumpers and ramps available). Lanes have complete wheelchair accessibility,TRUE,,,31
Kenmore Lanes,Bowling,1691 Kenmore Avenue,Kenmore,NY,14217,Erie,www.kenmorelanes.net#http://www.kenmorelanes.net#,,(716) 875-5340,(716) 875-1139,kenmorelanes@yahoo.com#mailto: kenmorelanes@yahoo.com#,,,Various,Various,,Bowling with adaptive equipment (bumpers and ramps available). Lanes have complete wheelchair accessibility,TRUE,,,34
Transit Lanes,Bowling,7850 Transit Road,Williamsville,NY,14221,Erie,www.transitlanes.net#http://www.transitlanes.net#,,(716) 632-3838,(716) 632-3942,,,,Various,Various,,Bowling with adaptive equipment (bumpers and ramps available). Lanes have complete wheelchair accessibility,TRUE,,,38
Springville Lanes,Bowling,53 West Main Street,Springville,NY,14141,Erie,,,(716) 592-2260,,,,,During Summer lanes are open by appt. only. Lanes available for groups of 15 or more.,Various,,Bowling with adaptive equipment (bumpers and one wooden ramp available). Lanes have complete wheelchair accessibility (LIMITED ACCESS INTO BUILDING) **Two steps into building**,TRUE,,,35
Voelker's Bowling Center,Bowling,686 Amherst Street,Buffalo,NY,14207,Erie,www.voelkersbowling.com#http://www.voelkersbowling.com#,Glenn Voelker,(716) 876-6020,(716) 873-6159,,,,Various,Various,,"32 lanes all equipped with: automatic scoring, gutter bumpers, a folding, aluminum, wheelchair ramp & ten sets of blind rails. Used by Queen City Blind League that bowls here, for handicapped parking & wheelchair access, with no steps, Marion Street lot.",TRUE,,,39
AMF Lancaster Lanes,Bowling,4913 Transit Road,Depew,NY,14043,Erie,www.amf.com#http://www.amf.com#,Amy Darling,(716) 668-1000,,,16+,,Fall and Winter: Saturdays 12:30-2:30 p.m. Twice a month,Various,,Special Olympic Training Club,TRUE,,,27
Heritage Center's Recess Program,Camps (Day & Overnight),2643 Main Street,Buffalo,NY,14214,Erie,www.heritagecenters.org#http://www.heritagecenters.org#,Shannon McFarlane,(716) 833-8603 ext. 2279,,,5/21/2014,No fee,Various,Various,Child must be Medicaid waiver enrolled. Must be ambulatory.,Five day program during the winter and spring school breaks for children with a developmental disability,FALSE,,,58
Adopted Recreation Program & Summer Day Camps,Camps (Day & Overnight),275 Alexander Avenue,Cheektowaga,NY,14211,Erie,www.tocny.org#http://www.tocny.org#,Amy McMahon,(716) 897-7205,(716) 897-7211,amcmahon@tocny.org#mailto:amcmahon@tocny.org#,Various,Varies by program,October through May; (Day Camp) July through August,Various,No transportation,"Sports, Saturday Recreation, Day Camp, & Community Outing",TRUE,Town of Cheektowaga,,42
Heritage Center's Summer Fun Club,Camps (Day & Overnight),2643 Main Street,Buffalo,NY,14214,Erie,www.heritagecenters.org#http://www.heritagecenters.org#,Shannon McFarlane,(716) 833-8603 ext. 2279,,,5/21/2014,Varies,July and August,Various,Must be ambulatory.,Six week day camp during July and August for children with a developmental disability.,FALSE,,,59
Camp Jil-lK-DO-WAH-GAH,Camps (Day & Overnight),275 Alexander Avenue,Cheektowaga,NY,14211,Erie,,Amy McMahon,(716) 897-7205,,amcmahon@tocny.org#mailto:amcmahon@tocny.org#,4/13/2014,"Chktg res. $763/ 7 wks or $119/ wk, Non-res. $940/ 7 wks or $146/ wk",July - August (Monday - Friday),Various,,"Seven week program for children who may have a learning disability, speech impairment, ADHD and/are emotionally disturbed.",TRUE,"Cheektowaga Dept. of Parks, Recreation and Youth Services",,46
Camp Special Place,Camps (Day & Overnight),2440 Sheridan Drive,Tonawanda,NY,14150,Erie,www.tonawanda.ny.us#http://www.tonawanda.ny.us#,Dennis McDonald,(716) 831-1001,(716) 831-1006,dmcdonald@tonawanda.ny.us#mailto:dmcdonald@tonawanda.ny.us#,5/15/2014,"Space limited to 36 campers/session, apply ASAP.","We plan on three two-week sessions from July 5 to August 13, 2010",Monday-Friday (9am-3pm),Resident registration set at $85 per session (including field trip fees) and $130 for non-residents.,"This is day camp for children with special needs. It is available for residents ages 5 to 15 that have a condition preventing them from attending a regular day camp. Activities include arts, crafts, games, swimming, field trips and more.",TRUE,"Kenmore Tonawanda Youth, Parks and Recreation Dept.",,50
Town of Amherst Youth & Recreation Department (Summer Day Camp),Camps (Day & Overnight),1615 Amherst Manor Drive,Williamsville,NY,14221,Erie,www.amherst.ny.us#http://www.amherst.ny.us#,Janice Zapfel or Mary Beth Hopkins,(716) 631-7132,(716) 626-9087,jzapfel@amherst.ny.us#mailto:jzapfel@amherst.ny.us#,5/17/2014,$15 non-refundable registration fee required for each family. Early bird & extended programs offered.,June 25 - August 17,Monday-Friday (8am-5:30pm),Camp fees are applied using a sliding scale based upon the family's most recent federal tax return.,Summer day camp for youth ages 5 - 11 (five sites) and ages 12-14 (one site). Staff works with families to develop individualized implementation plans for each child with special needs.,TRUE,,,63
Pioneer Camp & Retreat Center,Camps (Day & Overnight),9324 Lake Shore Road,Angola,NY,14006,Erie,www.pioneercamp.org#http://www.pioneercamp.org#,Kim Bridge or Sheila Matthews,(716) 549-1420,(716) 549-6018,info@pioneercamp.org#mailto:info@pioneercamp.org#,10+,Varies with length of program,"Summer, Week and Weekend Programs",Various,"Individuals with disabilities who have self care skills, non ambulatory individuals are welcome, evaluation of written application.","A year round Christian Camp that can help you customize an event to your specific needs. Ask about our ""Agape"" Camp.",TRUE,Eastern District of Lutheran Churches,,62
Cradle Beach Camp,Camps (Day & Overnight),8038 Old Lake Shore Road,Angola,NY,14006,Erie,www.cradlebeach.org#http://www.cradlebeach.org#,Administration,(716) 549-6307 ext. 205,,admissions@cradlebeach.org#mailto:admissions@cradlebeach.org#,8/16/2014,Based on family income/sliding fee scale,June - August (sessions vary in length),Various,Children must be able to take care of personal needs,"Residential camp designed for children with disabilities and those who come from economically disadvantaged backgrounds. Provides a healthy environment and organized activities to promote socialization, self-worth, and decision making.",TRUE,,,54
Camp Eager,Camps (Day & Overnight),"Epilepsy Association of WNY Inc., 339 Elmwood Avenue",Buffalo,NY,14201,Erie,www.epilepsywny.com#http://www.epilepsywny.com#,Cheryl Best,(716) 883-5396,(716) 883-5403,info@epilepsywny.org#mailto:info@epilepsywny.org#,8/15/2014,$250 for seven days.,One week in mid August,Various,Application should be in by April or May and can be picked up at the agency.,"Residential summer camp for boys and girls who have epilepsy, regardless of seizure control, however, must be ambulatory and manage own personal care needs.",TRUE,,,43
Camp Kiwanis,Camps (Day & Overnight),2643 Main Street,Buffalo,NY,14214,Erie,www.heritagecenters.org#http://www.heritagecenters.org#,Shannon McFarlane,(716) 833-8603 ext. 2279,,smcfarlane@heritagecenters.org#mailto:smcfarlane@heritagecenters.org#,7/21/2014,$250,End of August,Various,Children are picked via lottery system. Must be ambulatory.,Overnight camp held at Cradle Beach,TRUE,Heritage Centers,,47
Camp Turner,Camps (Day & Overnight),"PO BOX 264, (9150 ASP 3)",Salamanca,NY,14779,Cattaraugus,www.campturner.com#http://www.campturner.com#,John Mann,(716) 354-4555,,campturner@gmail.com#mailto:campturner@gmail.com#,7/16/2014,Offers off season rentals.,"Sunday afternoons through Friday evenings, early July to mid August",Various,Ask about roundtrip bus transportation from Williamsville and Hamburg.,"Overnight summer camp activities for boys and girls in a Catholic environment. Operated by the Department of Youth and Young Adult Ministry of the Catholic Diocese of Buffalo, Camp Turner is open to all regardless of affiliation.",TRUE,Catholic Diocese of Buffalo,,51
"Southtowns Walleye Association of WNY, Inc.",Fishing,5895 Southwestern Boulevard,Hamburg,NY,14075,Erie,www.southtownswalleye.org#http://www.southtownswalleye.org#,Mary Paufler,(716) 648-7590 or (716) 649-8202 CLUB NUMBER,,,No age limit,No fee,End of April,Various,Reservations required,(6 day fishing event) for individuals with developmental disabilities,TRUE,,,71
Annual Fishing Derby,Fishing,6812 Nash Road,North Tonawanda,NY,14120,Niagara,www.wheatfield.ny.us#http://www.wheatfield.ny.us#,Ed Sturgeon,(716) 731-3942,(716) 731-3320,eds@wheatfield.ny.us#mailto:eds@wheatfield.ny.us#,,No fee. Pre-registration is required 1 wk before event.,Event usually held in June.,Various,Pre-registration is required no later then one week before the event.,Seniors over 50 vs. youth 16 and under fish for prizes. Prizes awarded for the largest fish in each category. Refreshments are served at the event. Site is Fairmount Park; Hank Biose Pond,TRUE,Town of Wheatfield Parks & Recreation,,70
Centaur Stride Therapeutic Horseback Riding & Experiential Learning Center,Horseback Riding,8488 Jones Road,Sherman,NY,14781,Chautauqua,www.centaurstride.org#http://www.centaurstride.org#,Claudia Monroe,(716) 326-4318,,claudiamonroe@centaurstride.org#mailto:claudiamonroe@centaurstride.org#,,$20 a lesson,Various,Scheduling by appt. only,Programs are open to all in an integrated setting (some restrictions apply).,"Horseback riding to accommodate various disabilities, while focusing on safety, integration and challenge. Experiential learning to focus on social skills and group dynamics in a natural environment.",TRUE,,,75
Equi-Star Inc.,Horseback Riding,2199 Fuller Road,Burt,NY,14208,Niagara,www.equistartheranch.org#http://www.equistartheranch.org#,Miriam Smith,(716) 778-8249,,,No age limit,$90 per 6week session,Various,Daily & evening 6 days a week,"Another address: P.O. Box 25, Newfane, NY 14108","We provide therapeutic riding lessons for children and adults with varying conditions, such as Cerebral Palsy, Developmental Delays, Autism Spectrum Disorders, Trisomy 21, Anxiety, and much more. (Always looking for volunteers)",TRUE,,,78
High Hurdles Therapeutic Riding,Horseback Riding,13339 Route 39,Sardinia,NY,14134,Erie,"www.sasic,org/programsservices/highhurdles.aspx#http://www.sasic,org/programsservices/highhurdles.aspx#",Megan Stapley,(716) 496-5551,(716) 496-4010,hhurdles@sasinc.org#mailto:hhurdles@sasinc.org#,3+,$130 for 5 year session; $35 private lessons,Session March through November; Private lessons year round,Monday-Saturday; morning-evening; closed sundays,,"Therapeutic riding and horsemanship for individuals who are physically, cognitively and emotionally challenged. Also, hands on field trips are available.",TRUE,,,79
Lothlorien Therapeutic Riding Center,Horseback Riding,15 Reiter Road,East Aurora,NY,14052,Erie,www.lothlorientrc.org#http://www.lothlorientrc.org#,Maggie McCooey,(716) 655-1335,,Maggie.McCooey1frc@hotmail.com#mailto:Maggie.McCooey1frc@hotmail.com#,3+,"$135/4 wk or $195 / 6 wk session, $145/4 wk or $216 / 6 wks of private lessons",March through November riding sessions (Winter program on Sat. Dec. - Feb.),Various,Must have the ability to ride,Recreational adaptive horseback riding for adults and children of all ages with developmental disabilities. Accredited by PATH International.,TRUE,,,82
Buffalo Thunder Ice Hockey,Ice Sports,156 Tacoma Avenue,Buffalo,NY,14216,Erie,www.americanspecialhockey.org#http://www.americanspecialhockey.org#,Mike Steffan or Pam Steffan,(716) 691-4530,,michaelsteffan@verizon.net#mailto:michaelsteffan@verizon.net#,Dependent on skating ability and experience,To be determined,October - April,Various,,"Provides individuals with developmental disabilities the unique opportunity to play ice hockey. A coed, non-checking ice hockey team with individuals who love hockey and have some ice skating experience.",TRUE,,,83
Gliding Stars of WNY,Ice Sports,1412 Sweet Home Road,Amherst,NY,14228,Erie,www.glidingstars.org#http://www.glidingstars.org#,Elizabeth O'Donnell,(716) 608-8345,(716) 608-8346,wstnyc@glidingstars.org#mailto:wstnyc@glidingstars.org#,18 months+,$125 per person,Various,Various,,"Adaptive Ice Skating Program that serves individuals with disabilities in WNY. Nationwide including chapters in OH, PA,NY and FL.",TRUE,,,86
Spirited Athletes Bold At Heart (SABAH),Ice Sports,2607 Niagara Street,Buffalo,NY,14207,Erie,www.sabahinc.org#http://www.sabahinc.org#,Sheila O'Brien,(716) 362-9600,(716) 362-9601,sabah@sabahinc.org#mailto:sabah@sabahinc.org#,toddlers+,$185 skating fee for the season,Various,Call for a schedule,,"Ice skating for people with disabilities. Rinks located in Hamburg, City of Buffalo, Amherst, and Niagara Falls.",TRUE,,,87
Sled Hockey,Ice Sports,,,NY,,Erie,www.buffalosledhockey.org#http://www.buffalosledhockey.org#,Jeff Deglopper,(716) 353-3388,,,,,November - March,Saturday afternoons,Must be able to sit upright,Alternative style of hockey for those with disabilities. Played on a sled with the same rules of hockey.,TRUE,"WNY Physically Challenged Youth Sports Org., Inc. - Buffalo Sabres Sled Hockey Teams",,90
"Danceability, Inc.","Music, Dance & Drama","Tops/George Urban Plaza, 3859 Union Road Suite 600",Cheektowaga,NY,14225,Erie,www.danceabilityinc.com#http://www.danceabilityinc.com#,Robin Bishop or Christine Dwyer,(716) 651- 0094,,danceability07@yahoo.com#mailto:danceability07@yahoo.com#,3+,6 wk summer $115 incl. $30 registration fee. Full season Sept - May $595. incl. registration & performance fees. 8 wk Fitness Frenzy $159 (offered 4x/yr). Scholorships available.,Dates vary per program choice,Times vary per program,"Wiilingness to move with music to promote physical, social, and emotional wellness.","A program for children and adults with special needs utilizing dance and movement to enable and empower students while promoting physical, social, and emotional wellness in a family-focused, peaceful environment.",TRUE,,www.facebook.com/DanceabilityInc,95
Moving Miracles Dance Program,"Music, Dance & Drama",954 Union Road Suite 1,West Seneca,NY,14224,Erie,www.movingmiracles.org#http://www.movingmiracles.org#,Sheila Dollas,(716) 656-1321,,movingmiracles@verizon.net#mailto:movingmiracles@verizon.net#,3+,Varies with programs.,Various,Various,There are annual registration & costume/performance fees. Some insurance providers are paying a % of tuition.,"A dance and movement program for children, adolescents and adults with special needs, serving the Buffalo and Western New York community. We offer classes in creative movement, ballet, tap, jazz and adult aerobics. Our dance season is nine months.",TRUE,Some scholarships are awarded each season.,,102
Music/Drama/Entertainment,"Music, Dance & Drama",410 Grover Cleveland Highway,Amherst,NY,14226,Erie,,Bob Insana,(716) 832-8651 or (716) 628-6691,,robertinsan@msn.com#mailto:robertinsan@msn.com#,All ages,Varies,Various,Various,,"Guitarist, singer for any occasion or age. Drama workshop for all ages.",TRUE,,,103
